duration,ft_change,ut_change,tank_change,time_lag,first_slope_ratio,first_fm_index,first_fm_value,event_num,duration(s),flowmeter,num_max_feces,num_max_urine,flowmeter-tank
0 days 00:01:22,1.1980000000000004,0.19,1.3880000000000003,-2.0,6.577981651376147,0.0,0.18166666666666667,1.0,82.0,5.45,1.0,1.0,4.061999999999999
0 days 00:01:18,3.791000000000001,0.22999999999999998,4.021000000000001,-3.0,18.385321100917437,,0.0,2.0,78.0,0.0,1.0,1.0,-4.021000000000001
0 days 00:02:30,2.7799999999999994,0.3500000000000001,3.1299999999999994,-10.0,0.17241379310344396,13.0,0.19166666666666668,3.0,150.0,5.830833333333334,1.0,2.0,2.700833333333335
0 days 00:03:31,6.773999999999999,1.1600000000000001,7.933999999999999,-37.0,0.014084507042270721,0.0,0.16483333333333333,4.0,211.0,12.982499999999998,3.0,3.0,5.048499999999999
0 days 00:03:00,3.3599999999999994,0.3700000000000001,3.7299999999999995,-2.0,11.574999999999903,34.0,0.19,5.0,180.0,6.65,3.0,3.0,2.920000000000001
0 days 00:01:32,3.1800000000000033,0.3200000000000003,3.5000000000000036,12.0,21.91743119266058,0.0,0.06783333333333334,6.0,92.0,1.0366666666666666,1.0,2.0,-2.463333333333337
0 days 00:01:19,0.7199999999999989,0.08000000000000007,0.7999999999999989,-4.0,6.583333333333379,0.0,0.06783333333333334,7.0,79.0,1.0091666666666668,1.0,1.0,0.20916666666666783
0 days 00:02:57,7.289999999999999,1.0379999999999998,8.328,12.0,26.09345794392527,6.0,0.175,8.0,177.0,11.566666666666666,1.0,3.0,3.238666666666667
0 days 00:01:43,1.4659999999999975,0.27000000000000046,1.735999999999998,31.0,1.0000000000001776,0.0,0.17833333333333332,9.0,103.0,2.716666666666667,1.0,1.0,0.9806666666666688
0 days 00:02:46,4.789999999999999,0.45699999999999985,5.246999999999999,-14.0,0.057142857142850986,0.0,0.18833333333333335,10.0,166.0,3.766666666666667,2.0,1.0,-1.480333333333332
0 days 00:04:36,5.640000000000001,0.75,6.390000000000001,20.0,0.3703703703702826,0.0,0.1716666666666667,11.0,276.0,9.675,3.0,4.0,3.285
0 days 00:02:43,1.4299999999999997,0.06600000000000072,1.4960000000000004,26.0,1.1842378929334556e-12,0.0,0.185,12.0,163.0,8.386499999999998,1.0,1.0,6.890499999999998
0 days 00:03:40,5.536000000000001,0.6200000000000001,6.1560000000000015,6.0,0.0854700854701292,14.0,0.16133333333333333,13.0,220.0,5.465,2.0,2.0,-0.6910000000000016
0 days 00:03:20,1.7080000000000055,0.5499999999999998,2.2580000000000053,6.0,0.03240740740743067,32.0,0.175,14.0,200.0,4.374999999999999,2.0,3.0,2.1169999999999938
0 days 00:04:29,7.827999999999996,1.4400000000000004,9.267999999999997,-12.0,2.748717948717952,0.0,0.1716666666666667,15.0,269.0,12.407499999999999,3.0,5.0,3.1395000000000017
0 days 00:02:49,3.1400000000000006,0.3899999999999988,3.5299999999999994,12.0,9.051499818600002e-14,10.0,0.185,16.0,169.0,4.608333333333333,2.0,2.0,1.078333333333334
0 days 00:01:48,2.7110000000000056,0.3000000000000007,3.0110000000000063,-25.0,0.04316546762585,0.0,0.17833333333333332,17.0,108.0,3.5666666666666664,1.0,1.0,0.5556666666666601
0 days 00:02:01,2.1799999999999926,0.4299999999999997,2.6099999999999923,24.0,6.7864583333332495,12.0,0.06133333333333334,18.0,121.0,0.6541666666666667,1.0,2.0,-1.9558333333333255
0 days 00:02:40,3.6299999999999955,0.5399999999999991,4.169999999999995,11.0,5.93687707641193,0.0,0.175,19.0,160.0,5.249999999999999,1.0,1.0,1.0800000000000045
0 days 00:04:03,5.320000000000007,0.5800000000000001,5.9000000000000075,-5.0,3.4666666666667267,4.0,0.18000000000000002,20.0,243.0,5.451083333333334,2.0,2.0,-0.4489166666666735
0 days 00:05:11,11.266999999999996,1.200000000000001,12.466999999999997,-20.0,8.219512195121256,0.0,0.18000000000000002,21.0,311.0,16.267500000000002,5.0,5.0,3.800500000000005
0 days 00:02:40,6.804000000000002,0.39000000000000057,7.194000000000003,-32.0,0.48780487804870015,0.0,0.15933333333333335,22.0,160.0,5.9475,3.0,3.0,-1.2465000000000028
